epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,8134.27,0.99827,0.43492,1.05656,0.97986,0.95333,0.97819,0.7202,1.05033,0.37782,1.08224,0.00406,0.00406,0.00406
62,8288.69,0.99165,0.42994,1.05054,0.97631,0.95742,0.97817,0.71986,1.05312,0.37653,1.08304,0.003961,0.003961,0.003961
63,8443.01,0.9952,0.43306,1.04754,0.97989,0.95472,0.97787,0.71934,1.05461,0.37998,1.08386,0.003862,0.003862,0.003862
64,8597.44,0.98724,0.42962,1.04756,0.98211,0.95014,0.97811,0.72114,1.05256,0.37725,1.08015,0.003763,0.003763,0.003763
65,8750.99,0.97013,0.42342,1.04253,0.98287,0.95216,0.978,0.72341,1.04573,0.37316,1.08024,0.003664,0.003664,0.003664
66,8904.86,0.97677,0.41768,1.04355,0.98325,0.95353,0.97767,0.72234,1.04459,0.37002,1.07832,0.003565,0.003565,0.003565
67,9062.75,0.97171,0.41647,1.03949,0.98628,0.95008,0.97949,0.72362,1.04745,0.36817,1.0777,0.003466,0.003466,0.003466
68,9218.46,0.97342,0.41818,1.04024,0.98288,0.95125,0.97978,0.72125,1.05034,0.36836,1.07921,0.003367,0.003367,0.003367
69,9384.57,0.96564,0.413,1.03965,0.98346,0.95444,0.97909,0.72374,1.04982,0.36989,1.08215,0.003268,0.003268,0.003268
70,9548.82,0.96457,0.41325,1.03811,0.98576,0.94943,0.97885,0.72387,1.04965,0.3707,1.08058,0.003169,0.003169,0.003169
71,9708.76,0.95948,0.40813,1.03517,0.98491,0.9515,0.97991,0.7238,1.05023,0.36726,1.07912,0.00307,0.00307,0.00307
72,9830.47,0.95793,0.40462,1.03543,0.98509,0.95171,0.97981,0.72154,1.05086,0.36494,1.07846,0.002971,0.002971,0.002971
73,9951.59,0.95262,0.40438,1.03747,0.98883,0.9508,0.97968,0.72522,1.04508,0.3633,1.07799,0.002872,0.002872,0.002872
74,10073.2,0.95395,0.40449,1.03792,0.98678,0.95191,0.97966,0.72563,1.04509,0.36279,1.07863,0.002773,0.002773,0.002773
75,10191.7,0.95306,0.40175,1.03909,0.98126,0.95399,0.98017,0.72448,1.04626,0.36246,1.07838,0.002674,0.002674,0.002674
76,10305.1,0.94385,0.39799,1.02896,0.98351,0.95399,0.97957,0.72208,1.04801,0.362,1.07932,0.002575,0.002575,0.002575
77,10496.2,0.94103,0.39495,1.02932,0.98587,0.95362,0.97952,0.72559,1.04723,0.36087,1.07879,0.002476,0.002476,0.002476
78,10702.6,0.94229,0.3955,1.02977,0.98294,0.95353,0.98011,0.72534,1.04768,0.36087,1.07877,0.002377,0.002377,0.002377
79,10853,0.93639,0.39376,1.02837,0.98091,0.9549,0.98088,0.72596,1.04792,0.35868,1.07946,0.002278,0.002278,0.002278
80,11008.8,0.93362,0.39075,1.02505,0.98296,0.95399,0.97985,0.72511,1.04768,0.35977,1.07873,0.002179,0.002179,0.002179
81,11198.5,0.92053,0.38637,1.02096,0.98396,0.95018,0.97986,0.72722,1.04745,0.35915,1.07853,0.00208,0.00208,0.00208
82,11348.5,0.92522,0.38589,1.02438,0.98123,0.9525,0.97974,0.72758,1.04287,0.35855,1.0763,0.001981,0.001981,0.001981
