epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2468.49,0.99921,0.79895,1.29756,0.91732,0.66996,0.70121,0.4696,1.17932,0.68965,1.42428,0.0002773,0.0002773,0.0002773
75,2489.14,1.03124,0.8693,1.3657,0.91698,0.65656,0.68914,0.46144,1.19406,0.70761,1.44768,0.0002674,0.0002674,0.0002674
76,2509.76,0.98338,0.80221,1.28199,0.92046,0.6663,0.69675,0.46935,1.1884,0.68963,1.43179,0.0002575,0.0002575,0.0002575
77,2530.74,0.95425,0.77578,1.25889,0.92781,0.66985,0.70951,0.47466,1.18224,0.67351,1.42267,0.0002476,0.0002476,0.0002476
78,2551.52,0.9941,0.86765,1.29889,0.92718,0.66314,0.70118,0.47474,1.1637,0.66167,1.41836,0.0002377,0.0002377,0.0002377
79,2572.72,0.96112,0.77125,1.27144,0.92543,0.66097,0.70335,0.47622,1.17271,0.66341,1.43163,0.0002278,0.0002278,0.0002278
80,2593.37,0.97489,0.77458,1.27082,0.91431,0.67346,0.70694,0.48,1.16346,0.66072,1.42027,0.0002179,0.0002179,0.0002179
81,2614.14,1.00202,0.81565,1.28484,0.91853,0.66858,0.70683,0.48071,1.15359,0.65792,1.41891,0.000208,0.000208,0.000208
82,2637.07,0.96081,0.78921,1.27089,0.91166,0.67242,0.69912,0.4722,1.17195,0.66966,1.4173,0.0001981,0.0001981,0.0001981
83,2657.91,0.95269,0.73859,1.25743,0.92371,0.67468,0.70406,0.47601,1.16091,0.65715,1.4185,0.0001882,0.0001882,0.0001882
84,2679.08,0.95868,0.77035,1.27833,0.92886,0.66293,0.70099,0.47574,1.17062,0.65639,1.42386,0.0001783,0.0001783,0.0001783
85,2699.62,0.91909,0.73184,1.23473,0.92836,0.67376,0.70622,0.47931,1.15012,0.65987,1.41211,0.0001684,0.0001684,0.0001684
86,2720.19,0.94917,0.76186,1.26797,0.934,0.66384,0.71064,0.48118,1.15183,0.64971,1.41205,0.0001585,0.0001585,0.0001585
87,2741.12,0.92768,0.73267,1.25324,0.94161,0.66161,0.71063,0.48118,1.15244,0.64947,1.41064,0.0001486,0.0001486,0.0001486
88,2761.92,0.91294,0.7269,1.23453,0.9193,0.67946,0.70671,0.4813,1.14158,0.66091,1.40796,0.0001387,0.0001387,0.0001387
89,2782.54,0.96454,0.74096,1.29197,0.93771,0.67375,0.71171,0.48356,1.15009,0.6472,1.4027,0.0001288,0.0001288,0.0001288
90,2803.26,0.9202,0.72632,1.23873,0.92772,0.67225,0.70752,0.48003,1.14877,0.65228,1.40621,0.0001189,0.0001189,0.0001189
91,2852.53,0.91003,0.68949,1.29585,0.88238,0.67358,0.68995,0.46812,1.16607,0.66975,1.42164,0.000109,0.000109,0.000109
92,2873.37,0.83541,0.52133,1.23206,0.92006,0.67749,0.70504,0.47911,1.15732,0.65221,1.41849,9.91e-05,9.91e-05,9.91e-05
93,2893.19,0.84177,0.51124,1.21706,0.9248,0.67074,0.70636,0.47905,1.14825,0.64068,1.42285,8.92e-05,8.92e-05,8.92e-05
94,2913.36,0.83474,0.51247,1.24576,0.91464,0.67712,0.70395,0.4797,1.14184,0.64502,1.40772,7.93e-05,7.93e-05,7.93e-05
95,2936.22,0.84679,0.51961,1.26892,0.94223,0.66584,0.71019,0.48646,1.14038,0.63444,1.41488,6.94e-05,6.94e-05,6.94e-05
96,2956.05,0.78442,0.61368,1.19286,0.93386,0.672,0.71207,0.48362,1.13231,0.62947,1.40982,5.95e-05,5.95e-05,5.95e-05
97,2976.2,0.82851,0.59067,1.22608,0.93102,0.67169,0.71153,0.48819,1.12791,0.62658,1.40893,4.96e-05,4.96e-05,4.96e-05
98,2996.1,0.7845,0.47768,1.18921,0.9332,0.6768,0.71215,0.48737,1.12931,0.6308,1.40919,3.97e-05,3.97e-05,3.97e-05
99,3015.94,0.77052,0.47744,1.19102,0.92339,0.68521,0.71282,0.48575,1.12728,0.62913,1.40793,2.98e-05,2.98e-05,2.98e-05
100,3045.07,0.80542,0.56669,1.21767,0.93041,0.67686,0.71432,0.48738,1.12846,0.62385,1.411,1.99e-05,1.99e-05,1.99e-05
